temp,temp-feel,temp_category,temp_code
25.42,31.06,Hot,25.42-31.06-Hot
21.2,25.76,Hot,21.2-25.76-Hot
21.21,19.695,Mild,21.21-19.695-Mild
21.21,20.455,Mild,21.21-20.455-Mild
13.12,13.635,Mild,13.12-13.635-Mild
12.3,12.88,Mild,12.3-12.88-Mild
21.23,9.09,Cold,21.23-9.09-Cold
21.24,15.15,Mild,21.24-15.15-Mild
9.84,13.635,Mild,9.84-13.635-Mild
21.27,12.88,Mild,21.27-12.88-Mild
21.27,25,Mild,21.27-25-Mild
21.27,25.76,Hot,21.27-25.76-Hot
10.66,10.605,Mild,10.66-10.605-Mild
21.28,8.335,Cold,21.28-8.335-Cold
21.28,6.06,Cold,21.28-6.06-Cold
4.92,4.545,Cold,4.92-4.545-Cold
21.29,6.06,Cold,21.29-6.06-Cold
21.32,9.85,Cold,21.32-9.85-Cold
21.34,16.665,Mild,21.34-16.665-Mild
21.34,24.92,Mild,21.34-24.92-Mild
12.3,24.94,Mild,12.3-24.94-Mild
21.38,21.21,Mild,21.38-21.21-Mild
13.94,24.95,Mild,13.94-24.95-Mild
21.38,14.395,Mild,21.38-14.395-Mild
9.84,9.09,Cold,9.84-9.09-Cold
21.39,9.09,Cold,21.39-9.09-Cold
21.42,14.395,Mild,21.42-14.395-Mild
21.43,11.365,Mild,21.43-11.365-Mild
21.44,12.88,Mild,21.44-12.88-Mild
14.76,18.94,Mild,14.76-18.94-Mild
21.44,19.695,Mild,21.44-19.695-Mild
21.46,12.88,Mild,21.46-12.88-Mild
21.46,12.12,Mild,21.46-12.12-Mild
21.48,15.91,Mild,21.48-15.91-Mild
21.48,16.665,Mild,21.48-16.665-Mild
21.48,17.425,Mild,21.48-17.425-Mild
21.48,20.455,Mild,21.48-20.455-Mild
21.49,25.08,Hot,21.49-25.08-Hot
21.49,17.425,Mild,21.49-17.425-Mild
21.5,12.12,Mild,21.5-12.12-Mild
21.5,16.665,Mild,21.5-16.665-Mild
21.5,15.91,Mild,21.5-15.91-Mild
21.53,14.395,Mild,21.53-14.395-Mild
21.54,18.94,Mild,21.54-18.94-Mild
15.58,25.14,Hot,15.58-25.14-Hot
21.55,23.485,Mild,21.55-23.485-Mild
21.58,19.695,Mild,21.58-19.695-Mild
21.6,14.395,Mild,21.6-14.395-Mild
15.58,25.21,Hot,15.58-25.21-Hot
21.61,16.665,Mild,21.61-16.665-Mild
21.63,17.425,Mild,21.63-17.425-Mild
21.65,16.665,Mild,21.65-16.665-Mild
21.65,24.24,Mild,21.65-24.24-Mild
21.32,25.25,Hot,21.32-25.25-Hot
21.66,21.21,Mild,21.66-21.21-Mild
21.66,17.425,Mild,21.66-17.425-Mild
21.66,20.455,Mild,21.66-20.455-Mild
21.66,26.515,Hot,21.66-26.515-Hot
27.88,31.82,Hot,27.88-31.82-Hot
28.7,31.82,Hot,28.7-31.82-Hot
21.65,31.06,Hot,21.65-31.06-Hot
21.66,22.725,Mild,21.66-22.725-Mild
21.66,24.24,Mild,21.66-24.24-Mild
21.66,12.88,Mild,21.66-12.88-Mild
13.12,25.29,Hot,13.12-25.29-Hot
21.7,13.635,Mild,21.7-13.635-Mild
21.7,12.12,Mild,21.7-12.12-Mild
21.71,16.665,Mild,21.71-16.665-Mild
21.71,19.695,Mild,21.71-19.695-Mild
21.72,15.15,Mild,21.72-15.15-Mild
21.72,14.395,Mild,21.72-14.395-Mild
21.72,16.665,Mild,21.72-16.665-Mild
21.73,21.21,Mild,21.73-21.21-Mild
21.73,21.97,Mild,21.73-21.97-Mild
21.73,22.725,Mild,21.73-22.725-Mild
21.74,21.21,Mild,21.74-21.21-Mild
21.74,20.455,Mild,21.74-20.455-Mild
21.74,25.35,Hot,21.74-25.35-Hot
30.34,32.575,Hot,30.34-32.575-Hot
31.16,33.335,Hot,31.16-33.335-Hot
31.16,32.575,Hot,31.16-32.575-Hot
21.73,31.82,Hot,21.73-31.82-Hot
21.73,25.76,Hot,21.73-25.76-Hot
21.73,15.15,Mild,21.73-15.15-Mild
21.74,15.91,Mild,21.74-15.91-Mild
21.75,13.635,Mild,21.75-13.635-Mild
18.86,25.37,Hot,18.86-25.37-Hot
21.77,21.21,Mild,21.77-21.21-Mild
21.77,16.665,Mild,21.77-16.665-Mild
21.77,15.15,Mild,21.77-15.15-Mild
21.77,31.06,Hot,21.77-31.06-Hot
21.77,22.725,Mild,21.77-22.725-Mild
21.78,17.425,Mild,21.78-17.425-Mild
21.78,16.665,Mild,21.78-16.665-Mild
21.79,25.4,Hot,21.79-25.4-Hot
21.8,13.635,Mild,21.8-13.635-Mild
21.82,18.94,Mild,21.82-18.94-Mild
21.82,17.425,Mild,21.82-17.425-Mild
21.83,18.18,Mild,21.83-18.18-Mild
21.84,22.725,Mild,21.84-22.725-Mild
21.85,26.515,Hot,21.85-26.515-Hot
26.24,30.305,Hot,26.24-30.305-Hot
29.52,33.335,Hot,29.52-33.335-Hot
21.84,33.335,Hot,21.84-33.335-Hot
30.34,33.335,Hot,30.34-33.335-Hot
21.84,31.06,Hot,21.84-31.06-Hot
21.84,27.275,Hot,21.84-27.275-Hot
21.84,23.485,Mild,21.84-23.485-Mild
21.84,20.455,Mild,21.84-20.455-Mild
21.85,17.425,Mild,21.85-17.425-Mild
21.85,22.725,Mild,21.85-22.725-Mild
17.22,25.47,Hot,17.22-25.47-Hot
21.87,21.21,Mild,21.87-21.21-Mild
21.87,22.725,Mild,21.87-22.725-Mild
21.87,24.24,Mild,21.87-24.24-Mild
21.87,25.76,Hot,21.87-25.76-Hot
21.87,26.515,Hot,21.87-26.515-Hot
21.88,24.24,Mild,21.88-24.24-Mild
21.88,25.76,Hot,21.88-25.76-Hot
22.14,25.48,Hot,22.14-25.48-Hot
21.88,17.425,Mild,21.88-17.425-Mild
14.76,25.49,Hot,14.76-25.49-Hot
21.88,16.665,Mild,21.88-16.665-Mild
21.89,25,Mild,21.89-25-Mild
21.89,21.97,Mild,21.89-21.97-Mild
21.9,21.21,Mild,21.9-21.21-Mild
21.91,22.725,Mild,21.91-22.725-Mild
21.91,25.51,Hot,21.91-25.51-Hot
21.91,26.515,Hot,21.91-26.515-Hot
21.91,27.275,Hot,21.91-27.275-Hot
21.91,25.76,Hot,21.91-25.76-Hot
22.96,25.51,Hot,22.96-25.51-Hot
21.91,24.24,Mild,21.91-24.24-Mild
21.91,21.21,Mild,21.91-21.21-Mild
16.4,25.52,Hot,16.4-25.52-Hot
21.92,21.97,Mild,21.92-21.97-Mild
21.92,23.485,Mild,21.92-23.485-Mild
21.92,22.725,Mild,21.92-22.725-Mild
21.92,24.24,Mild,21.92-24.24-Mild
21.93,21.97,Mild,21.93-21.97-Mild
25.42,30.305,Hot,25.42-30.305-Hot
22.96,25.52,Hot,22.96-25.52-Hot
21.92,26.515,Hot,21.92-26.515-Hot
21.92,25,Mild,21.92-25-Mild
24.6,28.79,Hot,24.6-28.79-Hot
28.7,32.575,Hot,28.7-32.575-Hot
21.91,31.82,Hot,21.91-31.82-Hot
21.91,16.665,Mild,21.91-16.665-Mild
13.94,25.51,Hot,13.94-25.51-Hot
21.91,15.15,Mild,21.91-15.15-Mild
21.92,16.665,Mild,21.92-16.665-Mild
21.92,15.91,Mild,21.92-15.91-Mild
21.93,21.21,Mild,21.93-21.21-Mild
21.93,26.515,Hot,21.93-26.515-Hot
21.93,20.455,Mild,21.93-20.455-Mild
21.93,18.18,Mild,21.93-18.18-Mild
21.94,25.76,Hot,21.94-25.76-Hot
21.94,31.06,Hot,21.94-31.06-Hot
21.95,25.76,Hot,21.95-25.76-Hot
21.94,26.515,Hot,21.94-26.515-Hot
21.95,31.06,Hot,21.95-31.06-Hot
22.96,25.54,Hot,22.96-25.54-Hot
21.95,21.21,Mild,21.95-21.21-Mild
21.95,25,Mild,21.95-25-Mild
21.95,22.725,Mild,21.95-22.725-Mild
21.95,21.97,Mild,21.95-21.97-Mild
17.22,25.54,Hot,17.22-25.54-Hot
21.95,23.485,Mild,21.95-23.485-Mild
21.95,24.24,Mild,21.95-24.24-Mild
21.95,30.305,Hot,21.95-30.305-Hot
21.32,25.54,Hot,21.32-25.54-Hot
21.95,27.275,Hot,21.95-27.275-Hot
25.42,29.545,Hot,25.42-29.545-Hot
21.95,26.515,Hot,21.95-26.515-Hot
23.78,25.53,Hot,23.78-25.53-Hot
21.94,30.305,Hot,21.94-30.305-Hot
21.94,29.545,Hot,21.94-29.545-Hot
21.93,24.24,Mild,21.93-24.24-Mild
21.94,27.275,Hot,21.94-27.275-Hot
21.93,27.275,Hot,21.93-27.275-Hot
21.93,25.76,Hot,21.93-25.76-Hot
28.7,33.335,Hot,28.7-33.335-Hot
27.06,29.545,Hot,27.06-29.545-Hot
21.93,33.335,Hot,21.93-33.335-Hot
29.52,34.85,Hot,29.52-34.85-Hot
30.34,35.605,Hot,30.34-35.605-Hot
31.16,37.12,Hot,31.16-37.12-Hot
33.62,40.15,Hot,33.62-40.15-Hot
35.26,41.665,Hot,35.26-41.665-Hot
36.9,40.91,Hot,36.9-40.91-Hot
36.9,41.665,Hot,36.9-41.665-Hot
21.91,40.15,Hot,21.91-40.15-Hot
35.26,40.15,Hot,35.26-40.15-Hot
33.62,39.395,Hot,33.62-39.395-Hot
30.34,34.85,Hot,30.34-34.85-Hot
21.9,33.335,Hot,21.9-33.335-Hot
21.9,32.575,Hot,21.9-32.575-Hot
29.52,32.575,Hot,29.52-32.575-Hot
21.89,31.82,Hot,21.89-31.82-Hot
29.52,31.82,Hot,29.52-31.82-Hot
21.89,32.575,Hot,21.89-32.575-Hot
32.8,34.09,Hot,32.8-34.09-Hot
31.98,33.335,Hot,31.98-33.335-Hot
21.87,31.06,Hot,21.87-31.06-Hot
21.87,25,Mild,21.87-25-Mild
27.88,31.06,Hot,27.88-31.06-Hot
21.87,31.82,Hot,21.87-31.82-Hot
21.86,25.76,Hot,21.86-25.76-Hot
21.86,26.515,Hot,21.86-26.515-Hot
21.86,31.06,Hot,21.86-31.06-Hot
21.84,32.575,Hot,21.84-32.575-Hot
21.84,30.305,Hot,21.84-30.305-Hot
21.84,28.79,Hot,21.84-28.79-Hot
21.83,33.335,Hot,21.83-33.335-Hot
21.83,32.575,Hot,21.83-32.575-Hot
26.24,29.545,Hot,26.24-29.545-Hot
24.6,28.03,Hot,24.6-28.03-Hot
21.82,34.09,Hot,21.82-34.09-Hot
31.98,34.09,Hot,31.98-34.09-Hot
32.8,34.85,Hot,32.8-34.85-Hot
21.81,33.335,Hot,21.81-33.335-Hot
21.81,34.09,Hot,21.81-34.09-Hot
21.81,31.06,Hot,21.81-31.06-Hot
21.8,27.275,Hot,21.8-27.275-Hot
21.8,33.335,Hot,21.8-33.335-Hot
31.16,34.09,Hot,31.16-34.09-Hot
31.16,34.85,Hot,31.16-34.85-Hot
32.8,36.365,Hot,32.8-36.365-Hot
33.62,37.12,Hot,33.62-37.12-Hot
32.8,35.605,Hot,32.8-35.605-Hot
31.98,34.85,Hot,31.98-34.85-Hot
30.34,34.09,Hot,30.34-34.09-Hot
29.52,34.09,Hot,29.52-34.09-Hot
21.78,31.82,Hot,21.78-31.82-Hot
27.06,30.305,Hot,27.06-30.305-Hot
26.24,28.79,Hot,26.24-28.79-Hot
21.77,28.79,Hot,21.77-28.79-Hot
25.42,28.79,Hot,25.42-28.79-Hot
25.42,25.35,Hot,25.42-25.35-Hot
31.16,35.605,Hot,31.16-35.605-Hot
21.77,35.605,Hot,21.77-35.605-Hot
34.44,37.88,Hot,34.44-37.88-Hot
36.08,40.91,Hot,36.08-40.91-Hot
36.9,42.425,Hot,36.9-42.425-Hot
21.76,43.94,Hot,21.76-43.94-Hot
37.72,43.94,Hot,37.72-43.94-Hot
37.72,42.425,Hot,37.72-42.425-Hot
21.75,40.91,Hot,21.75-40.91-Hot
21.75,39.395,Hot,21.75-39.395-Hot
32.8,40.15,Hot,32.8-40.15-Hot
21.74,35.605,Hot,21.74-35.605-Hot
29.52,35.605,Hot,29.52-35.605-Hot
31.16,36.365,Hot,31.16-36.365-Hot
34.44,39.395,Hot,34.44-39.395-Hot
35.26,40.91,Hot,35.26-40.91-Hot
21.72,43.94,Hot,21.72-43.94-Hot
38.54,41.665,Hot,38.54-41.665-Hot
21.72,41.665,Hot,21.72-41.665-Hot
36.08,40.15,Hot,36.08-40.15-Hot
34.44,37.12,Hot,34.44-37.12-Hot
21.7,34.85,Hot,21.7-34.85-Hot
21.7,30.305,Hot,21.7-30.305-Hot
31.98,35.605,Hot,31.98-35.605-Hot
33.62,37.88,Hot,33.62-37.88-Hot
21.68,38.635,Hot,21.68-38.635-Hot
33.62,38.635,Hot,33.62-38.635-Hot
32.8,38.635,Hot,32.8-38.635-Hot
31.98,37.12,Hot,31.98-37.12-Hot
21.66,33.335,Hot,21.66-33.335-Hot
21.66,34.09,Hot,21.66-34.09-Hot
32.8,37.88,Hot,32.8-37.88-Hot
27.06,25.19,Hot,27.06-25.19-Hot
26.24,25.19,Hot,26.24-25.19-Hot
21.63,28.79,Hot,21.63-28.79-Hot
25.42,28.03,Hot,25.42-28.03-Hot
21.63,28.03,Hot,21.63-28.03-Hot
31.98,36.365,Hot,31.98-36.365-Hot
21.61,29.545,Hot,21.61-29.545-Hot
21.6,25.76,Hot,21.6-25.76-Hot
21.6,27.275,Hot,21.6-27.275-Hot
21.59,31.82,Hot,21.59-31.82-Hot
21.59,25.76,Hot,21.59-25.76-Hot
21.58,31.06,Hot,21.58-31.06-Hot
21.58,31.82,Hot,21.58-31.82-Hot
21.58,25,Mild,21.58-25-Mild
21.58,25.12,Hot,21.58-25.12-Hot
21.57,33.335,Hot,21.57-33.335-Hot
21.56,31.06,Hot,21.56-31.06-Hot
21.56,26.515,Hot,21.56-26.515-Hot
21.56,29.545,Hot,21.56-29.545-Hot
21.55,33.335,Hot,21.55-33.335-Hot
21.55,28.79,Hot,21.55-28.79-Hot
21.55,28.03,Hot,21.55-28.03-Hot
21.55,26.515,Hot,21.55-26.515-Hot
21.54,31.82,Hot,21.54-31.82-Hot
21.54,34.09,Hot,21.54-34.09-Hot
21.53,29.545,Hot,21.53-29.545-Hot
24.6,27.275,Hot,24.6-27.275-Hot
21.52,34.85,Hot,21.52-34.85-Hot
32.8,25.06,Hot,32.8-25.06-Hot
21.51,33.335,Hot,21.51-33.335-Hot
21.5,32.575,Hot,21.5-32.575-Hot
27.06,25.01,Hot,27.06-25.01-Hot
21.46,30.305,Hot,21.46-30.305-Hot
33.62,34.85,Hot,33.62-34.85-Hot
21.43,31.82,Hot,21.43-31.82-Hot
21.43,30.305,Hot,21.43-30.305-Hot
33.62,35.605,Hot,33.62-35.605-Hot
34.44,35.605,Hot,34.44-35.605-Hot
35.26,36.365,Hot,35.26-36.365-Hot
36.08,37.12,Hot,36.08-37.12-Hot
34.44,24.96,Mild,34.44-24.96-Mild
21.4,35.605,Hot,21.4-35.605-Hot
21.4,34.85,Hot,21.4-34.85-Hot
21.4,34.09,Hot,21.4-34.09-Hot
21.4,33.335,Hot,21.4-33.335-Hot
25.42,27.275,Hot,25.42-27.275-Hot
21.39,35.605,Hot,21.39-35.605-Hot
34.44,40.15,Hot,34.44-40.15-Hot
32.8,37.12,Hot,32.8-37.12-Hot
27.06,24.92,Mild,27.06-24.92-Mild
21.37,30.305,Hot,21.37-30.305-Hot
21.37,28.79,Hot,21.37-28.79-Hot
21.35,35.605,Hot,21.35-35.605-Hot
21.34,35.605,Hot,21.34-35.605-Hot
21.34,34.09,Hot,21.34-34.09-Hot
21.33,31.06,Hot,21.33-31.06-Hot
21.33,34.09,Hot,21.33-34.09-Hot
21.29,33.335,Hot,21.29-33.335-Hot
21.28,34.85,Hot,21.28-34.85-Hot
21.28,33.335,Hot,21.28-33.335-Hot
26.24,28.03,Hot,26.24-28.03-Hot
21.26,28.79,Hot,21.26-28.79-Hot
27.06,24.8,Mild,27.06-24.8-Mild
21.25,38.635,Hot,21.25-38.635-Hot
34.44,38.635,Hot,34.44-38.635-Hot
35.26,39.395,Hot,35.26-39.395-Hot
35.26,38.635,Hot,35.26-38.635-Hot
35.26,37.88,Hot,35.26-37.88-Hot
27.88,24.76,Mild,27.88-24.76-Mild
21.2,35.605,Hot,21.2-35.605-Hot
31.98,37.88,Hot,31.98-37.88-Hot
32.8,39.395,Hot,32.8-39.395-Hot
21.17,36.365,Hot,21.17-36.365-Hot
21.17,37.12,Hot,21.17-37.12-Hot
34.44,36.365,Hot,34.44-36.365-Hot
33.62,36.365,Hot,33.62-36.365-Hot
21.16,36.365,Hot,21.16-36.365-Hot
21.15,31.06,Hot,21.15-31.06-Hot
34.44,24.67,Mild,34.44-24.67-Mild
21.11,37.12,Hot,21.11-37.12-Hot
21.11,34.85,Hot,21.11-34.85-Hot
21.1,31.06,Hot,21.1-31.06-Hot
